Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 9EP,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9EQ,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9ER,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9ES,Live,E01009036,Birmingham 108D E01009036,15539,5
B28 9ET,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9EU,Terminated,E01032589,Birmingham 132E E01032589,13222,5
B28 9EW,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9EX,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9EY,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9EZ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9FD,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HA,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9HB,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HD,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HE,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HF,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9HG,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9HH,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9HJ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HL,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HN,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HP,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HQ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HR,Live,E01009034,Birmingham 108B E01009034,17391,6
B28 9HS,Live,E01009034,Birmingham 108B E01009034,17391,6
B28 9HT,Live,E01009036,Birmingham 108D E01009036,15539,5
B28 9HU,Terminated,E01009036,Birmingham 108D E01009036,15539,5
B28 9HW,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9HX,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HY,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9HZ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JA,Live,E01009036,Birmingham 108D E01009036,15539,5
B28 9JB,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9JD,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JE,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JF,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JG,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JH,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9JJ,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9JL,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9JN,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9JP,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9JQ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JR,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9JS,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JT,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9JU,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9JW,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9JX,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9JZ,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9LA,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9LB,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9LD,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9LE,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9LF,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9LG,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9LH,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9LJ,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9LL,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9LN,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9LP,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9LR,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9LS,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9LT,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9LU,Live,E01032589,Birmingham 132E E01032589,13222,5
